source,size,N_params,chinchilla_scale,D_tokens,epochs,K_paraphrase,D_prime_tokens,tokens_trained,Dprime_over_D,D_over_N,val_loss,eta_fit,R_star_fit,D_eff_fit,val_loss_pred,resid_log,kept_in_canonical_fit
1epoch,14m,14000000,0.05,14000000,1,,0,14000000,0.0,1.0,10.2806,,,14000000,16.517284,-0.474149,False
1epoch,14m,14000000,0.1,28000000,1,,0,28000000,0.0,2.0,9.2142,,,28000000,13.065547,-0.349233,False
1epoch,14m,14000000,0.25,70000000,1,,0,70000000,0.0,5.0,8.0745,,,70000000,9.848365,-0.198595,False
1epoch,14m,14000000,0.5,140000000,1,,0,140000000,0.0,10.0,7.7081,,,140000000,8.142238,-0.054793,True
1epoch,14m,14000000,1.0,280000000,1,,0,280000000,0.0,20.0,6.8567,,,280000000,6.882696,-0.003784,True
1epoch,14m,14000000,2.0,560000000,1,,0,560000000,0.0,40.0,6.0082,,,560000000,5.952842,0.009256,True
1epoch,14m,14000000,4.0,1120000000,1,,0,1120000000,0.0,80.0,5.3075,,,1120000000,5.26638,0.007778,True
1epoch,14m,14000000,8.0,2240000000,1,,0,2240000000,0.0,160.0,4.7329,,,2240000000,4.759602,-0.005626,True
1epoch,30m,30000000,0.05,30000000,1,,0,30000000,0.0,1.0,8.1971,,,30000000,12.39329,-0.413375,False
1epoch,30m,30000000,0.1,60000000,1,,0,60000000,0.0,2.0,8.0118,,,60000000,9.920879,-0.213726,False
1epoch,30m,30000000,0.25,150000000,1,,0,150000000,0.0,5.0,7.2161,,,150000000,7.616475,-0.053999,True
1epoch,30m,30000000,0.5,300000000,1,,0,300000000,0.0,10.0,6.4435,,,300000000,6.39441,0.007648,True
1epoch,30m,30000000,1.0,600000000,1,,0,600000000,0.0,20.0,5.6831,,,600000000,5.492225,0.034163,True
1epoch,30m,30000000,2.0,1200000000,1,,0,1200000000,0.0,40.0,4.9317,,,1200000000,4.826189,0.021627,True
1epoch,30m,30000000,4.0,2400000000,1,,0,2400000000,0.0,80.0,4.1337,,,2400000000,4.33449,-0.047431,True
1epoch,30m,30000000,8.0,4800000000,1,,0,4800000000,0.0,160.0,3.8764,,,4800000000,3.971495,-0.024236,True
1epoch,30m,30000000,16.0,9600000000,1,,0,9600000000,0.0,320.0,3.7454,,,9600000000,3.703515,0.011246,True
1epoch,60m,60000000,0.05,60000000,1,,0,60000000,0.0,1.0,8.0672,,,60000000,9.639044,-0.178016,False
1epoch,60m,60000000,0.1,120000000,1,,0,120000000,0.0,2.0,7.4437,,,120000000,7.813795,-0.048523,True
1epoch,60m,60000000,0.25,300000000,1,,0,300000000,0.0,5.0,6.4191,,,300000000,6.112576,0.04893,True
1epoch,60m,60000000,0.5,600000000,1,,0,600000000,0.0,10.0,5.7064,,,600000000,5.21039,0.090934,True
1epoch,60m,60000000,1.0,1200000000,1,,0,1200000000,0.0,20.0,4.9059,,,1200000000,4.544355,0.076553,True
1epoch,60m,60000000,2.0,2400000000,1,,0,2400000000,0.0,40.0,4.0581,,,2400000000,4.052656,0.001342,True
1epoch,60m,60000000,4.0,4800000000,1,,0,4800000000,0.0,80.0,3.6284,,,4800000000,3.689661,-0.016743,True
1epoch,60m,60000000,8.0,9600000000,1,,0,9600000000,0.0,160.0,3.4235,,,9600000000,3.421681,0.000532,True
